LATITUDE,LONGITUDE,CLIENT_LIST,CLIENT_WEIGHT,OWN
4.61,-74.13,8953;4069;6219;19379;20834;19915;11914;477;9117;21649;707;482,12,0
4.73,-74.1,19929;1833;4794;15317;4465;6126;16227;6668;6661;746;14512;16729;20525;14524;2926;16543;3788;20539;10362;16287;2788;7896;7826;9659;5980;4445;13275;2807;3734;13163;15253;14504,32,0
4.66,-74.14,2123;13336,2,0
4.75,-74.04,7438;13340;14916;6066;4277;20708;3623;20876;6387;20512;5585;13329,12,0
4.72,-74.22,17320;3690;3147;3655,4,0
4.76,-74.11,8947;11195;3045;8100;16338;8099;3031;21654;3722,9,0
4.65,-74.1,8075;15974,2,0
4.76,-74.07,17477;8771,2,0
4.63,-74.16,16506;3129;471;16956;79;14947;1115;1117;7303;16709;4279,11,0
4.71,-74.21,18923;16282;13807;15051;19382;3842;3837;21791;18954;19552;18952;6287;17105;3624;16169;17541;22173;3940;3910;16102;16601;15109;3941;16027;3923;14416;15207;18982;3248,29,0
4.59,-74.11,16234;7511;7604;1014;7784;6424;1470;2219;513;11951;10413;13612;20688;13412;7948;5361;7785;2747;6427;34;7446;3995;468;14690;13619;628;646;5324;20547,29,0
4.92,-74.04,20440,1,0
4.92,-74.1,1805;3850;1982,3,0
4.64,-74.19,6961;7884;17309;13399;6826;389;6883;6888;19013;3091;14696;3086;6958;7885;17073;2947;13975;12211;16967;3093;12992;16077;12756,23,0
4.66,-74.17,7022,1,0
4.82,-74.11,19225,1,0
4.81,-74.22,16681,1,0
4.91,-74.02,1390,1,0
4.69,-74.13,2900;2806,2,0
4.56,-74.18,11882,1,0
4.68,-74.08,13648;18430;2045;6923;2368;13654;21007;2076;6928;2133;13663;6926;18789;11208;22272;1754,16,0
4.53,-74.12,9038;9037;5824;10429;5886;10607;19167;6120;5321,9,0
4.63,-74.07,18525;9427;15284;15148;7966;5927;7379;6750;2964;7967;21042;3945;6;89;6277;4060;15274;5742;18517;15870;7368;7371;15632;7402;20489;7362;4219;6764;10992,29,0
4.58,-74.13,19226;18882;8664;11182;4237;8663;21133;5429;7134;7754;7058;798;19389;3399;17030;631;4480;502;19324;11108;7399;14150;14197;19891;4631;11611;7821;4238;551;12707;13526,31,0
4.57,-74.09,13814;14804;6794;17039;7574;6943;8535;6023;15303;13270;17021;17130;12146;5263;8536;1827;5547;6878;15448;6940;22210;7152;14807;10176;13595;191;13076;14463,28,0
4.86,-74.06,19247;16355;19786;18534;902;3954;17568;17048;17052;17567;1278;3958;720;17223;16137;17182;17469;17183;516;16395;17050;3483;18775;3938;3908,25,0
4.7,-74.13,185;19884;3006;2720;9955;903;2830;9966;8273;14181;14178;18378;3922;3408;14370;14037;13651;17954;2735;19069;16346;14193;2727;3314;12944;13005;2878;2839;2789;14086;22138;14067;14610;11961;12667;13174;3896;2843;14068;15572,40,0
4.76,-74.08,15977;4935;21414;12399;4043;15110;22117;18010,8,0
4.58,-74.15,9736;6525;824;10175;3833;10519;9750;4048;6048;21346;14900;130;491,13,0
4.72,-74.09,7437;8503;3727;10255;2151;5366;3235;3592;7693;15347;15890;5565;2876;20282;2001;15275;2970;2018;847;19046;1429;1663;5494;3657;9520;3032;13358;6015;3930;14286;455;6008;7440;15787;6370;21728;20264;3104;15030;14471;16404,41,0
4.73,-74.28,17778;17779;22032;3327;18028;18111;15027;17490,8,0
4.71,-74.03,13244;16541;6519;21600,4,0
3.42,-76.56,8681,1,0
4.59,-74.09,6799;20491;6345;6106;16567;12337;14358;14488;207;532;18745;7582;15;15929;21803;10533;20019,17,0
4.79,-74.05,20069,1,0
4.96,-74.44,20964,1,0
4.82,-74.22,16703;20050,2,0
4.82,-74.1,3161,1,0
4.58,-74.25,2067;866;6725;16155;313;11503;11812;2919;7565;14467,10,0
4.73,-74.03,7597;17485;715;13366;5634;8489;7594;6186;6992;2910;1341;20777;13510,13,0
4.65,-74.05,15696;19252;5655;13880,4,0
5.02,-73.98,22045,1,0
5.09,-74.61,13226,1,0
4.7,-74.18,13933;16747,2,0
5.01,-74.48,20470;20973,2,0
4.6,-74.15,18672;1965;1161;17091;13678;15864;3396;20301;3088;11665;6116;19195;1133;3023,14,0
4.73,-74.04,14791;14788;5151;5131;7659;19250;2730;7661;7704;21763;7701;3010;14477;4692;21954,15,0
4.75,-74.02,17966;4016,2,0
4.74,-74.27,15143;1974;14992;15130;20695;14878;1200;14881;21643,9,0
4.69,-74.18,13417;19422;13420;13426;14997,5,0
4.64,-74.17,7882;14300;6636;2492;2316;2957;5986;328;1908;2882;21874;16160;301;4041;16524;6130;3629;852;13891;22176;922;10561;10032;8024;16530;1661;266;11121;4090;10031;2497;17224;226;3590;2374;2447;80;2361;2216;290;320;9453;18002;4894;227;5787;7016;8025;3002;5095;16698;11122;17178;16622;83;818;1900;74;12874;784;5188;6229;2431,63,0
4.72,-74.11,6896;925;39;13449;6688;19771,6,0
4.68,-74.13,11479;13434;5262;16140;7270;12201;14227;14302;4447;1037,10,0
4.73,-74.27,14865;21153;4841;15122,4,0
4.66,-74.08,15445;18198;15242;20941;16238;5747;974;10145,8,0
4.57,-74.15,15868;9805;9797;3357;9670;1538;5152;9982;6494;138;8111;169;2950;5003;103;14473;3121;4996;154;297;9819;21955;12010;10712;306;7187;9827;9842;9715;249;9841;4988;7126;1660;374;884;4971;2902;8112;15010;3122,41,0
4.62,-74.15,9779;4382;3050;9774;487;13094;5650;3570;12307;13364;9963;5227;5296;3090;14115;3778;18407;14742;3308;7165,20,0
4.54,-74.08,9313;20356;3763;122;20970,5,0
4.65,-74.08,9799;2081;7162;10775;19292;7506;8995,7,0
4.85,-74.05,21092;17177;16259,3,0
4.61,-74.18,6490;9506;199;4422;33;15182;4823;9505;7445;16618;11456;6468;314;7161;5617;219;19966;18878;17308;5864;8205;2640;796;13862;7447;187;19892;12232;327,29,0
4.67,-74.06,2;9699;9765;9654;10648;5130;9336;9352;10174;13615;1309;1892;9766;5522;9653;9335;8753;11153;21012;10173,20,0
4.64,-74.12,6605;6609;6612;20553,4,0
4.61,-74.23,7195,1,0
4.71,-73.97,19238;18722,2,0
7.08,-73.13,12097,1,0
4.61,-74.16,4895;16288;9678;19461;3070;15688;869;9722,8,0
4.69,-74.2,2548,1,0
4.76,-74.01,4199,1,0
4.6,-74.07,7549;7978;6245;6032;8560;9109;14888;17084;6415;5118;12182;6002;8801;6774;20294;12509;12676,17,0
4.59,-74.14,7125;4977;4338;12415;4522;18168;21374;21366;6921;526;18080;16981;16947;10766;15683;19217;8146;3334;973;307;4331;4342;7762,23,0
4.67,-74.11,3967;1072;1123;7532;7398;787;14691;19521;12372;14516;4194;4541;19827,13,0
4.78,-74.32,15678,1,0
5.02,-74,21342;1304;1305;4518;20850;3785,6,0
5.19,-73.15,6638,1,0
